LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,Condition,Price
26100,135600,0.17,1509,400,192,3,0,0,3,2,1,51.8,0,Good,144504
22900,76100,0.15,744,0,16,1,0,0,2,2,1,66.7,220,Good,109800
33800,70800,0.26,1502,0,0,1,0,0,3,2,1,87.9,0,Good,122930
26200,107500,0.18,1236,0,80,1,0,0,4,2,1,57.8,0,Good,135498
30700,107100,0.3,1569,400,192,1,1,0,3,3,1,70,0,Good,152190
37600,108200,0.4,1456,0,285,1,0,0,3,3,1,85.8,0,Good,167737
23700,74700,0.16,838,0,0,1,0,0,2,3,1,85.9,0,Good,98187
24600,99300,0.16,1180,0,48,1,0,1,3,2,1,91.8,0,Good,108006
10900,52200,0.18,1177,0,0,1,0,0,3,3,0,98,0,Average,51941
8100,44000,0.14,704,0,0,1,0,0,2,2,0,78.7,0,Average,41934
19700,65000,0.16,1070,0,280,1,0,0,3,3,1,87.8,0,Average,88368
12200,62000,0.22,1302,0,0,1,0,0,4,3,0,118.9,0,Good,78550
7900,46400,0.12,1452,0,0,1,0,0,3,3,0,102.9,0,Poor,45166
11100,49700,0.17,1304,0,0,1,0,0,3,3,0,75.8,0,Poor,46148
14200,40300,0.13,982,0,0,1,0,0,2,3,0,95.9,0,Poor,78451
18500,60000,0.15,776,225,240,1,0,0,2,3,1,92.9,0,Good,69713
14800,64700,0.12,784,0,0,1,0,0,2,2,1,99.9,0,Good,95241
15900,65500,0.16,718,0,64,1,0,0,2,2,1,63.8,0,Good,97205
15500,95400,0.2,1064,0,0,1,0,0,3,2,1,51.8,0,Good,77685
16100,68500,0.15,1054,0,0,1,0,0,3,3,1,77.8,0,Good,82477
18000,44200,0.16,900,0,0,1,0,0,2,3,1,90,0,Poor,89743
19500,78500,0.21,1091,200,160,1,0,0,2,3,1,65.7,0,Average,96400
21100,130400,0.29,1838,0,70,2,0,0,3,4,1,70,0,Good,174773
18600,46600,0.15,484,0,120,1,0,0,1,2,1,76.8,0,Average,78451
13200,48400,0.11,768,0,0,1,0,0,2,2,1,88,0,Poor,50075
15400,63300,0.2,970,0,0,2,0,0,2,2,0,53.8,0,Good,77120
15400,63300,0.2,970,0,0,2,0,0,2,2,0,53.8,0,Good,78550
20200,81900,0.23,834,0,100,1,0,0,3,2,0,22.8,0,Good,103096
32600,183100,0.19,2022,0,100,2,1,1,4,3,1,3.9,670,Average,214047
9600,44600,0.16,696,0,0,1,0,0,2,2,0,53.8,0,Average,68731
20500,21800,0.22,480,0,0,1,0,0,2,2,0,52,0,Poor,39275
24100,52700,0.41,840,0,60,1,0,0,2,3,0,72.9,0,Good,81495
33200,122300,0.2,1320,0,244,2,1,0,3,3,1,4.9,400,Average,167900
33100,180100,0.2,1460,1000,144,2,1,1,4,2,1,5.8,462,Average,215913
17800,34600,0.15,480,0,0,1,0,0,1,2,0,82.9,0,Average,62840
16300,84200,0.2,816,0,0,1,0,1,3,2,1,52.8,0,Good,93768
16300,82100,0.2,907,0,0,1,0,0,3,2,1,52.7,0,Good,98328
22100,104700,0.21,960,0,0,1,0,0,3,2,1,37,0,Good,121752
22300,69400,0.3,1080,0,0,1,0,0,2,2,1,58.7,0,Average,86760
24900,63800,0.45,1888,650,0,2,1,1,2,3,1,83.9,0,Good,112915
16700,29500,0.15,660,0,0,1,0,0,2,2,0,63,0,Good,65785
